flag,length_class,n_vessel_years,f_transit_med,f_transit_q25,f_transit_q75
ABW,12-24m,1,0.531028169825045,0.531028169825045,0.531028169825045
ABW,24-50m,6,0.265386473671046,0.116974665916779,0.378797900044713
AFG,12-24m,34,0.502547673673892,0.34861723109531,0.577187746033634
AFG,24-50m,17,0.476076542132122,0.205325281576699,0.679780774954013
AGO,12-24m,16,0.491372789253967,0.273892533840294,0.56281839949602
AGO,24-50m,228,0.321578278976639,0.0787409074397381,0.818756008407882
AGO,Over 50m,35,0.467585105526933,0.189355668421582,0.635465394379412
AIA,12-24m,15,0.294718148218887,0.243877229728971,0.475446543456424
AIA,24-50m,8,0.542577282697235,0.355730884295209,0.811987814744708
AIA,6-12m,1,0.589113280242456,0.589113280242456,0.589113280242456
ALB,12-24m,665,0.294640016559456,0.14689641684127,0.531684463043087
ALB,24-50m,168,0.372677930146957,0.205750142255986,0.585449754454818
ALB,6-12m,3,0.639588799663696,0.470962066820326,0.738682995511119
ALB,Over 50m,6,0.60622720260786,0.335118372724628,0.662284022004133
ALB,,1,0.205475566322298,0.205475566322298,0.205475566322298
AND,12-24m,131,0.411592954974565,0.243627079613434,0.602225853219393
AND,24-50m,81,0.529546656210828,0.294635873668129,0.707365987114331
AND,6-12m,2,0.605278754010417,0.55841385755159,0.652143650469245
ARE,12-24m,14,0.521806367759208,0.22292256834089,0.706327432603524
ARE,24-50m,6,0.547994722101398,0.416782581047511,0.749694344045198
ARG,12-24m,401,0.257618183145608,0.195764008367115,0.349415647764864
ARG,24-50m,2253,0.441512286464235,0.357689003009423,0.515449287586147
ARG,Over 50m,911,0.587412223959549,0.40724236075054,0.65791741006043
ARG,,2,0.640592786010252,0.594048504273734,0.68713706774677
ARM,12-24m,14,0.499544690033249,0.298496994164078,0.658167492839858
ARM,24-50m,2,0.526925496610554,0.484958486915209,0.5688925063059
ASM,12-24m,2,0.470431310534315,0.346536296062318,0.594326325006312
ASM,24-50m,7,0.376362209870143,0.234547064620342,0.424428785677361
ATF,12-24m,25,0.300468297771006,0.166999712861343,0.464157926965404
ATF,24-50m,18,0.442195201645755,0.308479454089002,0.604272323148879
ATF,Over 50m,9,0.642628272935709,0.625294440353407,0.678500958429223
ATG,12-24m,12,0.487342637148934,0.345765680842465,0.775418930742965
ATG,24-50m,1,0.723135325959117,0.723135325959117,0.723135325959117
AUS,12-24m,702,0.44014864443998,0.275431938373657,0.613273268354685
AUS,24-50m,1229,0.396775453947738,0.254775007519708,0.580124932447072
AUS,6-12m,2,0.62511904447465,0.569764246590946,0.680473842358355
AUS,Over 50m,29,0.893075909872787,0.635643169109145,0.978933560163767
AUS,,17,0.50157070200839,0.351487353406571,0.621387269942178
AUT,12-24m,12,0.293407692732835,0.239151661129716,0.358723363197195
AUT,24-50m,7,0.265426720866944,0.192398766519408,0.42817157920477
AZE,12-24m,83,0.448538167209948,0.265756199575445,0.595518716757134
AZE,24-50m,88,0.392632474054244,0.296566185287883,0.526718321268203
AZE,Over 50m,1,0.409440756759585,0.409440756759585,0.409440756759585
BDI,12-24m,2,0.439098485136081,0.351709173183692,0.52648779708847
BDI,24-50m,6,0.431453047287815,0.386380708150461,0.5191278340427
BEL,12-24m,258,0.270956851907454,0.148764094136528,0.437246078283391
BEL,24-50m,416,0.310197526238513,0.255062972909655,0.42286509214501
BEL,Over 50m,19,0.467852251050251,0.304510431236884,0.650952221847135
BEN,12-24m,14,0.500979120140193,0.357658197472356,0.636806412557056
BEN,24-50m,3,0.240059921917215,0.220915486938353,0.462836627318163
BES,12-24m,13,0.230074570679789,0.146853804965471,0.440034982092866
BES,24-50m,1,0.492295692874003,0.492295692874003,0.492295692874003
BFA,12-24m,4,0.396408687805753,0.343614282599141,0.436653040180755
BFA,24-50m,6,0.678474366550528,0.529943458387726,0.825616488563037
BGD,12-24m,1,0.720691672184592,0.720691672184592,0.720691672184592
BGD,24-50m,29,0.447607976298878,0.335321214508414,0.600176948391814
BGR,12-24m,568,0.270525220311924,0.194707312522644,0.371376680860339
BGR,24-50m,55,0.275719559005678,0.228668987037752,0.379620280512358
BGR,,23,0.384717753581816,0.292579665525437,0.489969757983101
BHR,12-24m,493,0.515373182710597,0.301904155052921,0.730679709912039
BHR,24-50m,583,0.532304320056873,0.392675446365376,0.682666137932067
BHS,12-24m,20,0.600408438038177,0.385638943198436,0.75825579113097
BHS,24-50m,6,0.369596795565707,0.115358937659026,0.730374558206311
BIH,12-24m,9,0.685556132870898,0.35716759561773,0.731604526958061
BIH,24-50m,16,0.468149228522179,0.373745733964862,0.674806379002689
BLR,12-24m,1,0.685017687511317,0.685017687511317,0.685017687511317
BLZ,12-24m,58,0.465303494283177,0.294162082037871,0.691725715483127
BLZ,24-50m,97,0.552630424354401,0.377587906714823,0.690032250967633
BLZ,Over 50m,80,0.696469531855064,0.526266995782579,0.813354246166055
BLZ,,2,0.573593758850088,0.504638737752892,0.642548779947285
BMU,12-24m,10,0.408372017015746,0.353281085528009,0.578438386373177
BMU,24-50m,8,0.319749369368931,0.175583724562426,0.839249393198554
BMU,Over 50m,5,0.638729330319056,0.592414107528518,0.640643262928007
BOL,12-24m,8,0.377111147255832,0.321840756540016,0.452211741320685
BOL,6-12m,1,0.941943865171859,0.941943865171859,0.941943865171859
BRA,12-24m,2642,0.399867724690362,0.245546059928348,0.579949250164153
BRA,24-50m,1249,0.350719931247706,0.19572705256422,0.500347270720451
BRA,Over 50m,3,0.266020369957867,0.195516466633729,0.472704543008427
BRA,,4,0.771985376685244,0.674707355678826,0.869909960032565
BRB,12-24m,18,0.466235061398015,0.392859975903485,0.682318792242433
BRB,24-50m,17,0.645124458520064,0.339448883283555,0.666654784040097
BRN,12-24m,13,0.462152021718068,0.296299956199253,0.50700908203341
BRN,24-50m,5,0.362641395900763,0.31997180511985,0.400016229843567
BTN,12-24m,184,0.483443586044469,0.355068768173817,0.664255394703404
BTN,24-50m,135,0.485611215991891,0.280910280243527,0.671081009168177
BTN,Over 50m,2,0.396904530106534,0.343326795756515,0.450482264456552
BWA,12-24m,1,0.640572564118699,0.640572564118699,0.640572564118699
BWA,24-50m,5,0.565512845438082,0.474347924073441,0.642493704371294
CAF,12-24m,50,0.484363840433474,0.33110686585767,0.666071400798476
CAF,24-50m,21,0.486886225824909,0.417401974985722,0.526665594996792
CAF,6-12m,1,0.721541165220701,0.721541165220701,0.721541165220701
CAN,12-24m,5822,0.623963996531962,0.459726650475327,0.799982561827168
CAN,24-50m,1387,0.591424666634587,0.40695400945883,0.810049555793459
CAN,6-12m,41,0.570912735510068,0.31447843155343,0.690279122325081
CAN,Over 50m,163,0.332905267485908,0.268939727481944,0.417526896770559
CAN,,599,0.669843583472295,0.516678429549131,0.810326112201446
CCK,12-24m,12,0.57294750401459,0.443373006862428,0.75771251522506
CCK,24-50m,10,0.359997124794457,0.277833798887818,0.472666190470418
CHE,12-24m,4,0.418416834496962,0.384022500843779,0.479456360076281
CHL,12-24m,87,0.476513313847624,0.325857659282521,0.624921055407888
CHL,24-50m,282,0.815127235666534,0.631223371596707,0.974202384129302
CHL,Over 50m,364,0.724100107344557,0.615201330827132,0.774391826303479
CHN,12-24m,123779,0.421952570677154,0.263207522630497,0.598642564040687
CHN,24-50m,168451,0.407232765804526,0.244514448067657,0.592877721209878
CHN,6-12m,469,0.512154142067437,0.328629081514237,0.70259703937776
CHN,Over 50m,6531,0.69142532101712,0.555715327114479,0.785865337761061
CHN,,154,0.739543785977401,0.551073826007255,0.892457641845518
CIV,24-50m,18,0.38587858551235,0.24726704735583,0.710796473425759
CIV,Over 50m,16,0.27472912849209,0.220036330852311,0.885724721990013
CMR,12-24m,41,0.306795269392362,0.112080703851452,0.587744411490782
CMR,24-50m,134,0.390773998184898,0.149328347139505,0.619227404408139
CMR,Over 50m,48,0.542597725229169,0.415141368733952,0.742990476391365
COD,12-24m,9,0.39986584748536,0.0870796291676685,0.634562291144396
COD,24-50m,20,0.067829158128233,0.0434402718651848,0.270015684623831
COG,12-24m,12,0.496304281136079,0.332656486590589,0.573162805677174
COG,24-50m,7,0.707648793479098,0.569097141247377,0.813585453771449
COK,12-24m,14,0.450577319396251,0.212177305884518,0.71443308872809
COK,24-50m,113,0.361456676538496,0.249857516496838,0.532245590612384
COK,Over 50m,22,0.693677959243917,0.640277245685397,0.820996663101046
COL,12-24m,70,0.281254489941233,0.169391842546763,0.458573337764504
COL,24-50m,37,0.379431628333059,0.260515739235918,0.504415516271657
