"eez_sovereign","length_class","s_transit","n","floor_kn","s_transit_floor"
"DMA","Less than 6m",25.78,1,5.5,25.78
"ITA","Less than 6m",17.4815,4,5.5,17.4815
"NOR","Less than 6m",32.55,5,5.5,32.55
"PRT","Less than 6m",29.415,4,5.5,29.415
"SGP","Less than 6m",28.3475,6,5.5,28.3475
"AUS","Less than 6m",24.664,2,5.5,24.664
"DEU","Less than 6m",25.004,4,5.5,25.004
"JPN","Less than 6m",29.31,9,5.5,29.31
"ESP","Less than 6m",5.05199999999999,7,5.5,5.5
"FRA","Less than 6m",23.23,1,5.5,23.23
"KOR","Less than 6m",29.747,7,5.5,29.747
"COL","Less than 6m",1.39,1,5.5,5.5
"GRC","Less than 6m",30.296,5,5.5,30.296
"USA","Less than 6m",32.994,5,5.5,32.994
"HRV","Less than 6m",27.08,1,5.5,27.08
"HKG","Less than 6m",31.955,4,5.5,31.955
"PYF","Less than 6m",25.508,3,5.5,25.508
"AGO","Less than 6m",23.58,1,5.5,23.58
"TUR","Less than 6m",30.1305,4,5.5,30.1305
"TWN","Less than 6m",25.821,2,5.5,25.821
"CAN","Less than 6m",20.55,1,5.5,20.55
"SAU","Less than 6m",2.57,1,5.5,5.5
"CHN","Less than 6m",1.212,2,5.5,5.5
"FIN","Less than 6m",6.78,1,5.5,6.78
"DNK","Less than 6m",29.16,1,5.5,29.16
"KOR","6-12m",24.8509545951407,57,6.5,24.8509545951407
"ECU","6-12m",2.082,2,6.5,6.5
"QAT","6-12m",4.317,2,6.5,6.5
"USA","6-12m",27.0992280439409,91,6.5,27.0992280439409
"BHS","6-12m",22.4205,10,6.5,22.4205
"ITA","6-12m",7.774,34,6.5,7.774
"ESP","6-12m",5.1505,44,6.5,6.5
"MRT","6-12m",1.29,1,6.5,6.5
"NOR","6-12m",29.4225,46,6.5,29.4225
"JPN","6-12m",27.4241455938065,51,6.5,27.4241455938065
"GBR","6-12m",28.942,18,6.5,28.942
"SGP","6-12m",27.2765,12,6.5,27.2765
"HKG","6-12m",26.352,28,6.5,26.352
"CHN","6-12m",19.943,39,6.5,19.943
"PRT","6-12m",30.1725,26,6.5,30.1725
"GRC","6-12m",28.494,33,6.5,28.494
"ZAF","6-12m",1.54,2,6.5,6.5
"High seas","6-12m",24.42,1,6.5,24.42
"AUS","6-12m",31.9775,24,6.5,31.9775
"FIN","6-12m",4.79,12,6.5,6.5
"TUR","6-12m",26.9105,34,6.5,26.9105
"DNK","6-12m",11.1925,6,6.5,11.1925
"BGR","6-12m",8.132,2,6.5,8.132
"CAN","6-12m",25.394,13,6.5,25.394
"FRA","6-12m",19.966,13,6.5,19.966
"SVN","6-12m",5.2385,4,6.5,6.5
"DMA","6-12m",25.0625,6,6.5,25.0625
"ARE","6-12m",29.102,15,6.5,29.102
"TWN","6-12m",26.946,9,6.5,26.946
"NLD","6-12m",28.136,7,6.5,28.136
"FRO","6-12m",14.21,1,6.5,14.21
"ISL","6-12m",13.97,4,6.5,13.97
"BRA","6-12m",1.512,3,6.5,6.5
"TTO","6-12m",1.2,1,6.5,6.5
"PYF","6-12m",22.6625,6,6.5,22.6625
"IDN","6-12m",5.435,7,6.5,6.5
"RUS","6-12m",13.3495,2,6.5,13.3495
"TZA","6-12m",29.455,6,6.5,29.455
"THA","6-12m",3.812,5,6.5,6.5
"SWE","6-12m",6.2895,4,6.5,6.5
"MNE","6-12m",2.326,2,6.5,6.5
"IND","6-12m",6.466,4,6.5,6.5
"IRN","6-12m",8.924,8,6.5,8.924
"PER","6-12m",4.04,1,6.5,6.5
"DEU","6-12m",28.9595,14,6.5,28.9595
"HRV","6-12m",27.775,11,6.5,27.775
"PAN","6-12m",2.43,1,6.5,6.5
"AZE","6-12m",22.82,3,6.5,22.82
"MEX","6-12m",3.935,7,6.5,6.5
"ISR","6-12m",1.44,1,6.5,6.5
"GRD","6-12m",1.23,1,6.5,6.5
"VNM","6-12m",12.4695,2,6.5,12.4695
"COL","6-12m",1.119,2,6.5,6.5
"MDV","6-12m",20.39,1,6.5,20.39
"GLP","6-12m",24.94,1,6.5,24.94
"CHL","6-12m",5.709,2,6.5,6.5
"GEO","6-12m",1.34,1,6.5,6.5
"CYP","6-12m",7.759,2,6.5,7.759
"MAR","6-12m",1.83,1,6.5,6.5
"NZL","6-12m",20.3485,4,6.5,20.3485
"MYS","6-12m",2.8515,2,6.5,6.5
"PHL","6-12m",1.7825,2,6.5,6.5
"IRL","6-12m",11.349,2,6.5,11.349
"SDN","6-12m",10.3,1,6.5,10.3
"BRN","6-12m",2.92,1,6.5,6.5
"EST","6-12m",2.65,1,6.5,6.5
"SAU","6-12m",3.34,1,6.5,6.5
"NOR","12-24m",3.0917999218223,33556,8,8
"ITA","12-24m",21.9095300978025,49107,8,21.9095300978025
"FRO","12-24m",3.08415306994702,1364,8,8
"FIN","12-24m",2.54623275138799,4097,8,8
"GBR","12-24m",23.8310564625609,44869,8,23.8310564625609
"ISL","12-24m",3.142502119467,5931,8,8
