"length_class","region","s_transit","n","s_transit_floor","floor_kn"
"12-24m","AustraliaNZ",24.9952132781802,37313,24.9952132781802,8
"12-24m","Caribbean",23.2547291696734,15431,23.2547291696734,8
"12-24m","Europe",2.92628485562348,365586,8,8
"12-24m","IndianP",2.95136816345443,11710,8,8
"12-24m","IslandsNations",3.52213247152785,14070,8,8
"12-24m","LatinAmerica",4.41391896743172,36127,8,8
"12-24m","MidEast",3.95099566379188,59447,8,8
"12-24m","NorthAmerica",3.20261005708549,83891,8,8
"12-24m","NorthEastAsia",3.10132642310865,126253,8,8
"12-24m","NWAfrica",4.26505140747907,5213,8,8
"12-24m","SouthEastAsia",3.06712232193398,66165,8,8
"12-24m","SubAfrica",4.2299466481982,16722,8,8
"24-50m","AustraliaNZ",5.98048687678483,106424,10,10
"24-50m","Caribbean",5.75980310626281,41817,10,10
"24-50m","Europe",4.55064761068929,1080105,10,10
"24-50m","IndianP",3.67174048455388,39569,10,10
"24-50m","IslandsNations",6.1158686273023,47576,10,10
"24-50m","LatinAmerica",4.90958101608443,113475,10,10
"24-50m","MidEast",5.02814403519273,268814,10,10
"24-50m","NorthAmerica",6.01286709926093,338188,10,10
"24-50m","NorthEastAsia",4.57732229362576,1024377,10,10
"24-50m","NWAfrica",3.80442226391526,15548,10,10
"24-50m","SouthEastAsia",3.93955138747527,321393,10,10
"24-50m","SubAfrica",5.43639345436308,66273,10,10
"6-12m","AustraliaNZ",29.897,28,29.897,6.5
"6-12m","Caribbean",25.231,19,25.231,6.5
"6-12m","Europe",25.9977422328785,289,25.9977422328785,6.5
"6-12m","IndianP",6.466,4,6.5,6.5
"6-12m","IslandsNations",21.761,7,21.761,6.5
"6-12m","LatinAmerica",3.235,11,6.5,6.5
"6-12m","MidEast",25.3463790699128,66,25.3463790699128,6.5
"6-12m","NorthAmerica",27.0322658370401,111,27.0322658370401,6.5
"6-12m","NorthEastAsia",25.4013844951115,184,25.4013844951115,6.5
"6-12m","NWAfrica",NA,NA,6.5,6.5
"6-12m","SouthEastAsia",8.455,31,8.455,6.5
"6-12m","SubAfrica",28.356,9,28.356,6.5
"Less than 6m","AustraliaNZ",24.664,2,24.664,5.5
"Less than 6m","Caribbean",25.78,1,25.78,5.5
"Less than 6m","Europe",29.64,33,29.64,5.5
"Less than 6m","IndianP",NA,NA,5.5,5.5
"Less than 6m","IslandsNations",25.508,3,25.508,5.5
"Less than 6m","LatinAmerica",1.39,1,5.5,5.5
"Less than 6m","MidEast",29.574,5,29.574,5.5
"Less than 6m","NorthAmerica",32.2275,6,32.2275,5.5
"Less than 6m","NorthEastAsia",29.7605,24,29.7605,5.5
"Less than 6m","NWAfrica",NA,NA,5.5,5.5
"Less than 6m","SouthEastAsia",28.3475,6,28.3475,5.5
"Less than 6m","SubAfrica",23.58,1,23.58,5.5
"Over 50m","AustraliaNZ",12.2513499865198,149900,12.2513499865198,12
"Over 50m","Caribbean",12.9436100742255,139819,12.9436100742255,12
"Over 50m","Europe",11.6743521397827,1787067,12,12
"Over 50m","IndianP",11.9039577323392,172733,12,12
"Over 50m","IslandsNations",12.3715732727383,82160,12.3715732727383,12
"Over 50m","LatinAmerica",12.2555104390292,298256,12.2555104390292,12
"Over 50m","MidEast",11.5320689439903,877850,12,12
"Over 50m","NorthAmerica",12.7575018377208,394184,12.7575018377208,12
"Over 50m","NorthEastAsia",10.5018388343936,1912469,12,12
"Over 50m","NWAfrica",11.9933670990682,31423,12,12
"Over 50m","SouthEastAsia",11.5914166555976,992408,12,12
"Over 50m","SubAfrica",12.1542177259487,211438,12.1542177259487,12
