"nearest_seamount_id","nearest_seamount_distance_m","pixel_id"
5468390,1657672.78698471,1
5468390,1656751.26320562,2
5468390,1656055.18133852,3
5468390,1655584.82574101,4
5468390,1655340.38882962,5
5511664,1290157.13103624,6
5511664,1304791.43038275,7
5511664,1319632.94562415,8
5511664,1334674.76408781,9
5511664,1349910.18995666,10
5511664,1365332.74198804,11
5511664,1380936.15061672,12
5511664,1396714.3545319,13
5511664,1412661.49681039,14
5511664,1428771.92068064,15
5511664,1445040.16498509,16
5511664,1461460.95940145,17
5511664,1478029.21947736,18
5511664,1494740.04152659,19
5511664,1511588.69742954,20
5511664,1528570.6293758,21
5511664,1545681.44458156,22
5511664,1562916.91001054,23
5511664,1580272.94712334,24
5511664,1597745.62667611,25
5511664,1615331.16358695,26
5511664,1633025.91188489,27
5511664,1650826.35975429,28
1105518,1653585.95501782,29
1116463,1379064.8040253,30
1116463,1387207.05071868,31
1116463,1395651.19201241,32
1116463,1404391.7823412,33
5511664,995139.154348853,34
5511664,1005011.08230364,35
5511664,1015385.45409167,36
5511664,1026247.03215239,37
5511664,1037580.51611192,38
5511664,1049370.61595102,39
5511664,1061602.11831956,40
5511664,1074259.94592212,41
5511664,1087329.21003596,42
5511664,1100795.25633749,43
5511664,1114643.70430449,44
5511664,1128860.48053291,45
5511664,1143431.84635779,46
5511664,1158344.42020248,47
5511664,1173585.19509922,48
5511664,1189141.5518309,49
5511664,1205001.26813972,50
5511664,1221152.52443694,51
5511664,1237583.90642895,52
5511664,1254284.40505254,53
5511664,1271243.41408595,54
5511664,1288450.72577442,55
5511664,1305896.52478028,56
5511664,1323571.38073872,57
5511664,1341466.23967242,58
5508165,1424745.1535412,59
5508165,1407014.09563906,60
5508165,1389494.00283258,61
5508165,1372192.95592174,62
5508165,1355119.34472489,63
1116463,1430641.60506475,64
1116463,1443375.08672384,65
1116463,1456414.39350231,66
1116463,1469751.38578576,67
1116463,1483378.03416071,68
1116463,1497286.43025797,69
1116463,1511468.79624808,70
1116463,1525917.49305834,71
