"fao_id","name_en","ocean"
18,"Arctic Sea","Arctic"
61,"Pacific, Northwest","Pacific"
67,"Pacific, Northeast","Pacific"
37,"Mediterranean and Black Sea","Atlantic"
27,"Atlantic, Northeast","Atlantic"
31,"Atlantic, Western Central","Atlantic"
34,"Atlantic, Eastern Central","Atlantic"
51,"Indian Ocean, Western","Indian"
57,"Indian Ocean, Eastern","Indian"
71,"Pacific, Western Central","Pacific"
87,"Pacific, Southeast","Pacific"
41,"Atlantic, Southwest","Atlantic"
81,"Pacific, Southwest","Pacific"
58,"Indian Ocean, Antarctic","Indian"
48,"Atlantic, Antarctic","Atlantic"
88,"Pacific, Antarctic","Pacific"
77,"Pacific, Eastern Central","Pacific"
47,"Atlantic, Southeast","Atlantic"
21,"Atlantic, Northwest","Atlantic"
