"flag_fin","gov_score"
"ABW","0"
"AGO","4"
"AIA","3"
"ALB","4"
"ARE","8"
"ARG","6"
"ASM","7"
"ATG","7"
"AUS","10"
"BEL","8"
"BEN","4"
"BES","3"
"BGD","5"
"BGR","8"
"BHS","5"
"BLZ","4"
"BMU","4"
"BRA","6"
"BRB","1"
"CAN","8"
"CHL","9"
"CHN","6"
"CIV","4"
"CMR","0"
"COD","3"
"COG","5"
"COK","7"
"COL","3"
"COM","4"
"CPV","6"
"CRI","3"
"CUB","3"
"CYM","3"
"CYP","1"
"DEU","8"
"DJI","2"
"DNK","8"
"DOM","4"
"DZA","5"
"ECU","6"
"EGY","6"
"ERI","4"
"ESP","8"
"FJI","7"
"FLK","7"
"FRA","9"
"FSM","5"
"GAB","5"
"GBR","9"
"GEO","2"
"GHA","6"
"GIN","4"
"GMB","5"
"GNB","6"
"GNQ","6"
"GRC","3"
"GRD","4"
"GRL","7"
"GTM","5"
"HND","3"
"HRV","7"
"HTI","0"
"IDN","8"
"IND","7"
"IRL","7"
"IRN","7"
"ISL","8"
"ISR","2"
"ITA","6"
"JOR","4"
"JPN","8"
"KEN","6"
"KIR","5"
"KOR","8"
"KWT","4"
"LBN","3"
"LBR","6"
"LTU","7"
"LVA","7"
"MAR","7"
"MDG","6"
"MDV","6"
"MEX","6"
"MHL","6"
"MLT","7"
"MMR","6"
"MNP","3"
"MOZ","6"
"MRT","6"
"MSR","4"
"MYS","5"
"NAM","7"
"NCL","8"
"NGA","6"
"NIC","7"
"NIU","2"
"NLD","8"
"NOR","8"
"NRU","5"
"NZL","7"
"OMN","5"
"PAK","4"
"PAN","7"
"PCN","3"
"PER","4"
"PHL","8"
"PLW","8"
"PNG","6"
"PRT","3"
"PYF","7"
"RUS","6"
"SAU","5"
"SDN","6"
"SEN","6"
"SLB","6"
"SLE","6"
"SLV","6"
"SOM","1"
"STP","4"
"SVN","7"
"SWE","8"
"SYC","6"
"TCA","2"
"THA","7"
"TKL","2"
"TLS","2"
"TON","6"
"TUN","6"
"TUR","5"
"TUV","6"
"TWN","6"
"TZA","7"
"UKR","3"
"URY","5"
"USA","8"
"VCT","3"
"VIR","4"
"VNM","3"
"VUT","6"
"WLF","3"
"WSM","7"
"ZAF","8"
