"year","mean","sd"
1950,-2.23583333333333,0.75363915085203
1951,-1.12166666666667,0.615878283921475
1952,-1.54916666666667,0.561094034143578
1953,-0.64,0.491047118642674
1954,-0.403333333333333,0.744938476206816
1955,-2.06916666666667,0.863907174446772
1956,-1.8125,0.745118965486232
1957,0.29,1.21539368855602
1958,0.864166666666667,0.457074856278952
1959,0.274166666666667,0.663111924370558
1960,0.0391666666666667,0.563761044372095
1961,-0.574166666666667,1.01011662992974
1962,-1.10166666666667,0.528580145008276
1963,-0.240833333333333,0.702365591584913
1964,-0.8875,0.74356787304064
1965,-0.144166666666667,0.586181143788619
1966,-0.44,0.323334895341432
1967,-0.741666666666667,0.608273762130975
1968,-0.154166666666667,0.390604620680516
1969,-0.344166666666667,0.936788113554484
1970,-0.404166666666667,1.0665787132299
1971,-1.31583333333333,0.675768361783739
1972,-1.14416666666667,0.868640090060668
1973,-1.13666666666667,0.444529032354537
1974,-0.3025,0.681457328751471
1975,-1.41166666666667,0.435009578438606
1976,-0.149166666666667,1.14651613264892
1977,0.045,0.725828680011525
1978,0.0716666666666666,0.865960668152936
1979,0.1075,0.669927065229696
1980,0.308333333333333,0.501050411786594
1981,0.838333333333333,0.573170343287441
1982,-0.2575,0.523330679398791
1983,1.24833333333333,0.615154575302136
1984,0.603333333333333,0.620151496642457
1985,0.0266666666666667,0.522029837763275
1986,1.0075,0.628217174376679
1987,1.13666666666667,0.467747665721464
1988,-0.0383333333333333,0.495705802290272
1989,-0.504166666666667,0.597714713544747
1990,-0.826666666666667,0.706866752691486
1991,-0.879166666666667,0.967230895939851
1992,0.76,0.533887969181142
1993,1.04333333333333,0.755396745044776
1994,-0.493333333333333,1.05295543662358
1995,0.439166666666667,0.590569191286652
1996,0.683333333333333,0.729499620952401
1997,1.31666666666667,0.747229225306074
1998,-0.478333333333333,1.19559671927934
1999,-1.84333333333333,0.557662871982597
2000,-1.12583333333333,0.606427067237923
2001,-1.13416666666667,0.808460471101298
2002,-0.439166666666667,0.980810966249436
2003,0.381666666666667,0.657873065033802
2004,-0.224166666666667,0.488624383221701
2005,-0.188333333333333,1.02194852506317
2006,-0.350833333333333,0.623005301791731
2007,-0.7025,0.739780372813445
2008,-1.66333333333333,0.240315449256836
2009,-1.03166666666667,0.80780098059016
2010,-1.06083333333333,1.0125346982457
2011,-1.81166666666667,0.711756257223616
2012,-1.73333333333333,0.688797810857747
2013,-1.16583333333333,0.359632598717922
2014,0.554166666666667,0.786805489805377
2015,0.921666666666667,0.472764275941045
2016,0.674166666666667,0.873399401849758
2017,-0.1025,0.423795083415644
2018,-0.370833333333333,0.354438309373458
2019,-0.1625,0.416983213091367
2020,-1.14333333333333,0.392899092604828
2021,-1.88083333333333,0.751113819402206
2022,-2.11416666666667,0.373568986773244
2023,-2.25166666666667,0.558306421784723
2024,-2.59083333333333,0.839355362312307
