"MRGID","MRGID_SOV1","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","GEONAME"
8444,2204,"American Samoa","ASM","United States","USA","United States Exclusive Economic Zone (American Samoa)"
8379,2208,"Ascension","SHN","United Kingdom","GBR","British Exclusive Economic Zone (Ascension)"
8446,2227,"Cook Islands","COK","New Zealand","NZL","New Zealand Exclusive Economic Zone (Cook Islands)"
8389,2208,"Falkland / Malvinas Islands","FLK","United Kingdom","GBR","Overlapping claim Falkland / Malvinas Islands: United Kingdom / Argentina"
8440,17,"French Polynesia","PYF","France","FRA","French Exclusive Economic Zone (French Polynesia)"
8439,2208,"Pitcairn","PCN","United Kingdom","GBR","British Exclusive Economic Zone (Pitcairn)"
8380,2208,"Saint Helena","SHN","United Kingdom","GBR","British Exclusive Economic Zone (Saint Helena)"
8445,8671,"Samoa","WSM","Samoa","WSM","Samoan Exclusive Economic Zone"
8448,8674,"Tonga","TON","Tonga","TON","Tongan Exclusive Economic Zone"
8382,2208,"Tristan da Cunha","SHN","United Kingdom","GBR","British Exclusive Economic Zone (Tristan da Cunha)"
8465,2165,"Chile","CHL","Chile","CHL","Chilean Exclusive Economic Zone"
8447,2227,"Niue","NIU","New Zealand","NZL","New Zealand Exclusive Economic Zone (Niue)"
48961,2216,"Uruguay","URY","Uruguay","URY","Joint regime area: Uruguay / Argentina"
48962,2257,"Peru","PER","Peru","PER","Joint regime area: Peru / Ecuador"
8467,2216,"Uruguay","URY","Uruguay","URY","Uruguayan Exclusive Economic Zone"
8449,2227,"Tokelau","TKL","New Zealand","NZL","New Zealand Exclusive Economic Zone (Tokelau)"
8432,2257,"Peru","PER","Peru","PER","Peruvian Exclusive Economic Zone"
22756,2165,"Islas San Félix and San Ambrosio","CHL","Chile","CHL","Chilean Exclusive Economic Zone (Islas San Félix and San Ambrosio)"
21787,2165,"Easter Island",NA,"Chile","CHL","Chilean Exclusive Economic Zone (Easter Island)"
8381,2143,"Trindade",NA,"Brazil","BRA","Brazilian Exclusive Economic Zone (Trindade)"
8450,2116,"Phoenix Group","KIR","Kiribati","KIR","Kiribati Exclusive Economic Zone (Phoenix Group)"
8466,2149,"Argentina","ARG","Argentina","ARG","Argentinian Exclusive Economic Zone"
8386,17,"Amsterdam and Saint Paul Islands","ATF","France","FRA","French Exclusive Economic Zone (Amsterdam and Saint Paul Islands)"
8309,2147,"Christmas Island","CXR","Australia","AUS","Australian Exclusive Economic Zone (Christmas Island)"
8308,2147,"Cocos Islands","CCK","Australia","AUS","Australian Exclusive Economic Zone (Cocos Islands)"
8334,2163,"Comores","COM","Comores","COM","Comoran Exclusive Economic Zone"
8385,17,"Crozet Islands","ATF","France","FRA","French Exclusive Economic Zone (Crozet Islands)"
